observed_on,latitude,longitude,scientific_name,common_name,,Source
6/19/2019,24.50283668,-110.4897788,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/7/2021,37.5462401,-122.4721803,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/8/2021,33.6990129,-121.035944,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/23/2021,37.32937,-122.9593,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/7/2013,28.29911545,-115.5826228,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/11/2013,28.3070472,-115.5839934,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/26/2020,29.15398457,-118.2844962,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
11/20/2021,20.487868,-105.448179,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
12/14/2021,25.110313,-110.653323,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/10/2021,28.89291676,-118.2822342,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
11/27/2021,28.89517394,-118.250722,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
2/12/2022,37.335825,-122.9632528,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
3/1/2022,40.97230657,-124.1371684,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/16/2018,28.88230387,-118.2911883,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
3/21/2022,28.3038584,-115.5888314,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/10/2022,28.31104667,-115.588225,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/17/2022,37.60041992,-122.4410994,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
3/1/2022,19.5,-105.87,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/30/2022,32.62043194,-117.3684923,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/30/2022,32.60381122,-117.4762918,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/17/2014,29.14975591,-118.2861394,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/17/2022,36.68723415,-121.9438074,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/17/2022,36.70171884,-121.9311572,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/20/2022,39.40335534,-123.6937324,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/20/2022,39.49972736,-123.7398758,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/7/2022,37.26115127,-122.4166793,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/10/2022,45.72033133,-123.9617184,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/12/2022,32.65625598,-117.4055928,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/4/2022,45.09037057,-123.8610772,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/8/2022,32.5986025,-117.4467689,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/21/2017,29.78910772,-115.7944209,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/21/2017,29.78910772,-115.7944209,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/21/2022,44.80901653,-124.1875994,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/12/2022,32.6972968,-117.4481844,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/30/2022,47.170143,-124.953835,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/15/2022,9.930440813,-85.66339441,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/15/2014,28.98116046,-118.3139013,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/11/2022,32.67644455,-117.3643309,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/11/2022,32.7280421,-117.3308605,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/11/2022,32.66013828,-117.272975,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/11/2022,32.79603971,-117.5846538,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/13/2022,24.7251603,-110.4434895,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/15/2022,37.42570523,-122.9671576,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/18/2022,33.08235767,-117.3973697,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/11/2022,32.62852167,-117.67619,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/11/2022,31.5105181,-121.0546875,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/22/2022,38.17436742,-122.9480367,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/18/2022,24.7113667,-113.0175992,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/18/2022,20.69116,-105.93338,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
11/7/2022,41.19677124,-124.0807662,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
3/28/2023,28.29830784,-115.53789,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/13/2023,28.3799,-112.30599,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/29/2023,26.40083243,-109.236389,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/29/2023,26.404075,-109.2521367,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/9/2023,37.78046213,-122.506123,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
12/13/2021,25.19742242,-110.698151,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/12/2023,40.98437497,-124.1526264,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/15/2023,40.96340133,-124.1015492,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/20/2023,,,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/24/2023,32.815453,-117.3598585,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/1/2022,35.28516991,-120.8965409,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/13/2023,36.431625,-122.1696167,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/13/2023,36.21032,-122.34877,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/13/2023,36.31492833,-122.2509133,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
